Text,Country,City,Pollution,Value,Date
BETR831,Belgium,Antwerpen,42.5,µg/m³,2020-04-24 01:00:00
BETR803,Belgium,Antwerpen,45.5,µg/m³,2020-04-24 01:00:00
BETR811,Belgium,Antwerpen,48.0,µg/m³,2020-04-24 01:00:00
BETR805,Belgium,Antwerpen,44.0,µg/m³,2020-04-24 01:00:00
BETR817,Belgium,Antwerpen,39.5,µg/m³,2020-04-24 01:00:00
BETR802,Belgium,Antwerpen,44.5,µg/m³,2020-04-24 01:00:00
BETR834,Belgium,Antwerpen,41.0,µg/m³,2020-04-24 01:00:00
BETR801,Belgium,Antwerpen,48.0,µg/m³,2020-04-24 01:00:00
BETM802,Belgium,Antwerpen,42.5,µg/m³,2020-04-24 01:00:00
BELSA04,Belgium,Antwerpen,46.0,µg/m³,2020-04-24 01:00:00
US Diplomatic Post: Manama,Bahrain,Manama,47.0,µg/m³,2020-04-24 09:00:00
BELAL01,Belgium,Antwerpen,49.5,µg/m³,2020-04-24 01:00:00
BETN016,Belgium,Antwerpen,27.0,µg/m³,2020-04-24 01:00:00
BETN063,Belgium,Brabant wallon,21.026,µg/m³,2020-04-24 01:00:00
BELHB23,Belgium,Antwerpen,46.0,µg/m³,2020-04-24 01:00:00
BG0045A,Bulgaria,Русе,11.97,µg/m³,2020-04-24 07:00:00
Athabasca Valley,Canada,ALBERTA,7.7,µg/m³,2020-04-24 10:00:00
Lukavac,Bosnia and Herzegovina,Lukavac,7.4,µg/m³,2020-04-24 11:00:00
BG0075A,Bulgaria,Варна,23.59,µg/m³,2020-04-24 07:00:00
Rangoon,Bermuda,N/A,40.0,µg/m³,2020-04-24 09:30:00
Manama,Bosnia and Herzegovina,N/A,62.0,µg/m³,2020-04-24 10:00:00
US Diplomatic Post: Sarajevo,Bosnia and Herzegovina,Sarajevo,20.0,µg/m³,2020-04-24 07:00:00
Beaverlodge,Canada,ALBERTA,0.9,µg/m³,2020-04-24 10:00:00
Bruderheim,Canada,ALBERTA,4.9,µg/m³,2020-04-24 06:00:00
Calgary Northwest,Canada,ALBERTA,1.4,µg/m³,2020-04-24 10:00:00
Calgary Central2,Canada,ALBERTA,1.9,µg/m³,2020-04-24 10:00:00
Edmonton East,Canada,ALBERTA,2.4,µg/m³,2020-04-24 10:00:00
Bukinje,Bosnia and Herzegovina,Tuzla,5.8,µg/m³,2020-04-24 11:00:00
